order_id,line_index,sku,dc,pgi,demand,cpp,unit_revenue,filled,pallets,loose_cases,shortfall_cases,revenue,penalty
5485389446,6597,12567750,5083,2024-06-27,159,136,29.767295597484278,0.0,0.0,0.0,159.0,0.0,709.95
5485389446,6598,12591203,5083,2024-06-27,13,128,52.84615384615385,13.0,0.0,13.0,0.0,687.0,0.0
5485389446,6599,12352102,5083,2024-06-27,33,60,161.0,33.0,0.0,33.0,0.0,5313.0,0.0
5485389446,6600,12432376,5083,2024-06-27,60,120,33.85,60.0,0.0,60.0,0.0,2031.0,0.0
5485389446,6601,12500023,5083,2024-06-27,144,128,75.26388888888889,144.0,1.0,16.0,0.0,10838.0,0.0
5485389446,6602,12584376,5083,2024-06-27,39,128,38.205128205128204,39.0,0.0,39.0,0.0,1490.0,0.0
5485389446,6603,12591220,5083,2024-06-27,52,128,36.07692307692308,52.0,0.0,52.0,0.0,1876.0000000000002,0.0
5485389446,6604,9519773,5083,2024-06-27,2,160,64.5,2.0,0.0,2.0,0.0,129.0,0.0
5485389446,6605,12408919,5083,2024-06-27,1,128,166.0,1.0,0.0,1.0,0.0,166.0,0.0
5485389446,6606,12504650,5083,2024-06-27,384,128,38.078125,384.0,3.0,0.0,0.0,14622.0,0.0
5485389446,6607,12468559,5083,2024-06-27,3,147,27.666666666666668,3.0,0.0,3.0,0.0,83.0,0.0
5485389446,6608,12452197,5083,2024-06-27,17,112,76.88235294117646,17.0,0.0,17.0,0.0,1307.0,0.0
5485389446,6609,12560314,5083,2024-06-27,6,128,35.666666666666664,6.0,0.0,6.0,0.0,214.0,0.0
5485389446,6610,12352104,5083,2024-06-27,21,60,161.0,21.0,0.0,21.0,0.0,3381.0,0.0
5485389446,6611,12352105,5083,2024-06-27,24,60,161.0,24.0,0.0,24.0,0.0,3864.0,0.0
5485389446,6612,12416276,5083,2024-06-27,40,120,85.8,40.0,0.0,40.0,0.0,3432.0,0.0
5485389446,6613,12504639,5083,2024-06-27,144,128,28.73611111111111,144.0,1.0,16.0,0.0,4138.0,0.0
5485389446,6614,12500021,5083,2024-06-27,128,128,65.625,128.0,1.0,0.0,0.0,8400.0,0.0
5485389446,6615,12493312,5083,2024-06-27,10,128,90.4,10.0,0.0,10.0,0.0,904.0,0.0
5485389446,6616,12535136,5083,2024-06-27,46,128,213.93478260869566,46.0,0.0,46.0,0.0,9841.0,0.0
5485389446,6617,12591187,5083,2024-06-27,170,128,36.088235294117645,170.0,1.0,42.0,0.0,6135.0,0.0
5485389446,6618,12500751,5083,2024-06-27,11,128,85.54545454545455,0.0,0.0,0.0,11.0,0.0,141.15
5485389446,6619,9517630,5083,2024-06-27,18,160,64.55555555555556,18.0,0.0,18.0,0.0,1162.0,0.0
5485389446,6620,12504648,5083,2024-06-27,512,128,30.158203125,512.0,4.0,0.0,0.0,15441.0,0.0
5485597603,20786,12535161,5773,2024-06-26,41,128,207.90243902439025,41.0,0.0,41.0,0.0,8524.0,0.0
5485597603,20787,12524424,5773,2024-06-26,10,128,98.4,0.0,0.0,0.0,0.0,0.0,0.0
5485597603,20788,12500751,5773,2024-06-26,60,128,85.6,60.0,0.0,60.0,0.0,5136.0,0.0
5485597603,20789,12535136,5773,2024-06-26,34,128,213.91176470588235,34.0,0.0,34.0,0.0,7273.0,0.0
5485597603,20790,12510902,5773,2024-06-26,18,128,42.77777777777778,18.0,0.0,18.0,0.0,770.0,0.0
5485597603,20791,12409676,5773,2024-06-26,41,128,214.1951219512195,41.0,0.0,41.0,0.0,8782.0,0.0
5485597603,20792,9519773,5773,2024-06-26,5,160,64.6,5.0,0.0,5.0,0.0,323.0,0.0
5485597603,20793,12575290,5773,2024-06-26,62,105,28.080645161290324,62.0,0.0,62.0,0.0,1741.0,0.0
5485597603,20794,12493314,5773,2024-06-26,9,128,88.11111111111111,9.0,0.0,9.0,0.0,793.0,0.0
5485597603,20795,12591220,5773,2024-06-26,132,128,36.083333333333336,132.0,1.0,4.0,0.0,4763.0,0.0
5485597603,20796,12408922,5773,2024-06-26,128,128,166.234375,127.0,0.0,127.0,0.0,21111.765625,0.0
5485597603,20797,12502286,5773,2024-06-26,288,128,40.979166666666664,288.0,2.0,32.0,0.0,11802.0,0.0
5485597603,20798,12500020,5773,2024-06-26,144,128,65.625,144.0,1.0,16.0,0.0,9450.0,0.0
5485597603,20799,12502274,5773,2024-06-26,144,128,33.263888888888886,144.0,1.0,16.0,0.0,4790.0,0.0
5485597603,20800,12571489,5773,2024-06-26,3,84,279.0,3.0,0.0,3.0,0.0,837.0,0.0
5485597603,20801,12408925,5773,2024-06-26,4,128,195.5,4.0,0.0,4.0,0.0,782.0,0.0
5485597603,20802,12502689,5773,2024-06-26,144,128,41.9375,144.0,1.0,16.0,0.0,6039.0,0.0
5485597603,20803,12573468,5773,2024-06-26,14,128,26.5,14.0,0.0,14.0,0.0,371.0,0.0
5485597603,20804,12452095,5773,2024-06-26,131,128,42.82442748091603,131.0,1.0,3.0,0.0,5610.0,0.0
5485597603,20805,12493312,5773,2024-06-26,7,128,90.42857142857143,7.0,0.0,7.0,0.0,633.0,0.0
5485597603,20806,12591203,5773,2024-06-26,9,128,52.77777777777778,9.0,0.0,9.0,0.0,475.0,0.0
5485597603,20807,12352105,5773,2024-06-26,30,60,161.0,30.0,0.0,30.0,0.0,4830.0,0.0
5485597603,20808,12560314,5773,2024-06-26,12,128,35.75,12.0,0.0,12.0,0.0,429.0,0.0
5485597603,20809,12453337,5773,2024-06-26,20,160,46.35,20.0,0.0,20.0,0.0,927.0,0.0
5485597603,20810,12453453,5773,2024-06-26,68,128,32.86764705882353,68.0,0.0,68.0,0.0,2235.0,0.0
5485597603,20811,12468559,5773,2024-06-26,5,147,27.6,5.0,0.0,5.0,0.0,138.0,0.0
5485597603,20812,12451633,5773,2024-06-26,45,128,89.77777777777777,45.0,0.0,45.0,0.0,4039.9999999999995,0.0
5485597603,20813,12403241,5773,2024-06-26,1,98,41.0,0.0,0.0,0.0,0.0,0.0,0.0
5485597603,20814,12591189,5773,2024-06-26,52,128,36.07692307692308,52.0,0.0,52.0,0.0,1876.0000000000002,0.0
5485597603,20815,12445173,5773,2024-06-26,5,128,192.0,5.0,0.0,5.0,0.0,960.0,0.0
5485597603,20816,12551080,5773,2024-06-26,14,98,41.785714285714285,14.0,0.0,14.0,0.0,585.0,0.0
5485597603,20817,12464372,5773,2024-06-26,64,128,42.828125,64.0,0.0,64.0,0.0,2741.0,0.0
5485597603,20818,12453435,5773,2024-06-26,27,128,32.851851851851855,27.0,0.0,27.0,0.0,887.0000000000001,0.0
5485597603,20819,12591202,5773,2024-06-26,45,128,52.84444444444444,45.0,0.0,45.0,0.0,2378.0,0.0
